,count,duration,duration_bin,durations,type
6319,1,104 min,95 - 120,104.0,Movie
6320,1,95 min,95 - 120,95.0,Movie
6323,1,122 min,120 - 150,122.0,Movie
6324,1,105 min,95 - 120,105.0,Movie
6325,1,96 min,95 - 120,96.0,Movie
6327,1,130 min,120 - 150,130.0,Movie
6328,1,97 min,95 - 120,97.0,Movie
6329,1,87 min,60 - 90,87.0,Movie
6331,1,106 min,95 - 120,106.0,Movie
6332,1,112 min,95 - 120,112.0,Movie
6333,1,148 min,120 - 150,148.0,Movie
6337,1,85 min,60 - 90,85.0,Movie
6338,1,107 min,95 - 120,107.0,Movie
6340,1,76 min,60 - 90,76.0,Movie
6341,1,103 min,95 - 120,103.0,Movie
6342,1,112 min,95 - 120,112.0,Movie
6345,1,95 min,95 - 120,95.0,Movie
6346,1,88 min,60 - 90,88.0,Movie
6348,1,116 min,95 - 120,116.0,Movie
6349,1,121 min,120 - 150,121.0,Movie
6350,1,82 min,60 - 90,82.0,Movie
6352,1,107 min,95 - 120,107.0,Movie
6353,1,87 min,60 - 90,87.0,Movie
6354,1,46 min,0 - 60,46.0,Movie
6355,1,103 min,95 - 120,103.0,Movie
6357,1,97 min,95 - 120,97.0,Movie
6360,1,91 min,90 - 95,91.0,Movie
6361,1,91 min,90 - 95,91.0,Movie
6362,1,111 min,95 - 120,111.0,Movie
6363,1,101 min,95 - 120,101.0,Movie
6364,1,104 min,95 - 120,104.0,Movie
6365,1,92 min,90 - 95,92.0,Movie
6366,1,113 min,95 - 120,113.0,Movie
6367,1,93 min,90 - 95,93.0,Movie
6368,1,151 min,150  - 300,151.0,Movie
6370,1,89 min,60 - 90,89.0,Movie
6371,1,124 min,120 - 150,124.0,Movie
6373,1,115 min,95 - 120,115.0,Movie
6375,1,84 min,60 - 90,84.0,Movie
6377,1,106 min,95 - 120,106.0,Movie
6378,1,97 min,95 - 120,97.0,Movie
6380,1,92 min,90 - 95,92.0,Movie
6383,1,86 min,60 - 90,86.0,Movie
6384,1,46 min,0 - 60,46.0,Movie
6386,1,124 min,120 - 150,124.0,Movie
6387,1,83 min,60 - 90,83.0,Movie
6389,1,100 min,95 - 120,100.0,Movie
6391,1,107 min,95 - 120,107.0,Movie
6392,1,115 min,95 - 120,115.0,Movie
6394,1,104 min,95 - 120,104.0,Movie
6395,1,101 min,95 - 120,101.0,Movie
6396,1,158 min,150  - 300,158.0,Movie
6399,1,95 min,95 - 120,95.0,Movie
6401,1,97 min,95 - 120,97.0,Movie
6404,1,97 min,95 - 120,97.0,Movie
6406,1,89 min,60 - 90,89.0,Movie
6408,1,161 min,150  - 300,161.0,Movie
6409,1,205 min,150  - 300,205.0,Movie
6410,1,123 min,120 - 150,123.0,Movie
6411,1,190 min,150  - 300,190.0,Movie
6413,1,108 min,95 - 120,108.0,Movie
6414,1,136 min,120 - 150,136.0,Movie
6419,1,161 min,150  - 300,161.0,Movie
6420,1,114 min,95 - 120,114.0,Movie
6422,1,128 min,120 - 150,128.0,Movie
6423,1,133 min,120 - 150,133.0,Movie
6425,1,119 min,95 - 120,119.0,Movie
6426,1,101 min,95 - 120,101.0,Movie
6427,1,86 min,60 - 90,86.0,Movie
6428,1,124 min,120 - 150,124.0,Movie
6431,1,105 min,95 - 120,105.0,Movie
6432,1,91 min,90 - 95,91.0,Movie
6433,1,94 min,90 - 95,94.0,Movie
6434,1,168 min,150  - 300,168.0,Movie
6436,1,136 min,120 - 150,136.0,Movie
6437,1,94 min,90 - 95,94.0,Movie
6441,1,85 min,60 - 90,85.0,Movie
6442,1,108 min,95 - 120,108.0,Movie
6444,1,101 min,95 - 120,101.0,Movie
6445,1,116 min,95 - 120,116.0,Movie
6446,1,71 min,60 - 90,71.0,Movie
6447,1,147 min,120 - 150,147.0,Movie
6448,1,88 min,60 - 90,88.0,Movie
6449,1,99 min,95 - 120,99.0,Movie
6450,1,96 min,95 - 120,96.0,Movie
6451,1,132 min,120 - 150,132.0,Movie
6452,1,85 min,60 - 90,85.0,Movie
6454,1,95 min,95 - 120,95.0,Movie
6457,1,97 min,95 - 120,97.0,Movie
6459,1,92 min,90 - 95,92.0,Movie
6463,1,135 min,120 - 150,135.0,Movie
6465,1,36 min,0 - 60,36.0,Movie
6466,1,79 min,60 - 90,79.0,Movie
6468,1,120 min,120 - 150,120.0,Movie
6469,1,53 min,0 - 60,53.0,Movie
6470,1,94 min,90 - 95,94.0,Movie
6471,1,111 min,95 - 120,111.0,Movie
6472,1,123 min,120 - 150,123.0,Movie
6474,1,103 min,95 - 120,103.0,Movie
6475,1,111 min,95 - 120,111.0,Movie
6479,1,123 min,120 - 150,123.0,Movie
6480,1,114 min,95 - 120,114.0,Movie
6484,1,100 min,95 - 120,100.0,Movie
6485,1,84 min,60 - 90,84.0,Movie
6486,1,75 min,60 - 90,75.0,Movie
6487,1,118 min,95 - 120,118.0,Movie
6489,1,96 min,95 - 120,96.0,Movie
6490,1,102 min,95 - 120,102.0,Movie
6491,1,108 min,95 - 120,108.0,Movie
6496,1,99 min,95 - 120,99.0,Movie
6497,1,103 min,95 - 120,103.0,Movie
6498,1,93 min,90 - 95,93.0,Movie
6499,1,101 min,95 - 120,101.0,Movie
6500,1,112 min,95 - 120,112.0,Movie
6501,1,99 min,95 - 120,99.0,Movie
6503,1,129 min,120 - 150,129.0,Movie
6504,1,106 min,95 - 120,106.0,Movie
6505,1,100 min,95 - 120,100.0,Movie
6507,1,209 min,150  - 300,209.0,Movie
6508,1,24 min,0 - 60,24.0,Movie
6509,1,105 min,95 - 120,105.0,Movie
6511,1,93 min,90 - 95,93.0,Movie
6513,1,112 min,95 - 120,112.0,Movie
6514,1,52 min,0 - 60,52.0,Movie
6516,1,106 min,95 - 120,106.0,Movie
6518,1,123 min,120 - 150,123.0,Movie
6521,1,90 min,90 - 95,90.0,Movie
6523,1,140 min,120 - 150,140.0,Movie
6525,1,95 min,95 - 120,95.0,Movie
6526,1,100 min,95 - 120,100.0,Movie
6527,1,121 min,120 - 150,121.0,Movie
6528,1,97 min,95 - 120,97.0,Movie
6530,1,141 min,120 - 150,141.0,Movie
6533,1,118 min,95 - 120,118.0,Movie
6535,1,105 min,95 - 120,105.0,Movie
6536,1,133 min,120 - 150,133.0,Movie
6537,1,76 min,60 - 90,76.0,Movie
6538,1,93 min,90 - 95,93.0,Movie
6542,1,98 min,95 - 120,98.0,Movie
6543,1,86 min,60 - 90,86.0,Movie
6544,1,130 min,120 - 150,130.0,Movie
6545,1,113 min,95 - 120,113.0,Movie
6547,1,98 min,95 - 120,98.0,Movie
6548,1,84 min,60 - 90,84.0,Movie
6549,1,91 min,90 - 95,91.0,Movie
6550,1,104 min,95 - 120,104.0,Movie
6551,1,133 min,120 - 150,133.0,Movie
6552,1,105 min,95 - 120,105.0,Movie
6555,1,149 min,120 - 150,149.0,Movie
6556,1,93 min,90 - 95,93.0,Movie
6557,1,88 min,60 - 90,88.0,Movie
6558,1,131 min,120 - 150,131.0,Movie
6559,1,44 min,0 - 60,44.0,Movie
6560,1,119 min,95 - 120,119.0,Movie
6563,1,99 min,95 - 120,99.0,Movie
6564,1,96 min,95 - 120,96.0,Movie
6567,1,70 min,60 - 90,70.0,Movie
6568,1,107 min,95 - 120,107.0,Movie
6569,1,83 min,60 - 90,83.0,Movie
6570,1,110 min,95 - 120,110.0,Movie
6571,1,116 min,95 - 120,116.0,Movie
6572,1,88 min,60 - 90,88.0,Movie
6574,1,95 min,95 - 120,95.0,Movie
6575,1,96 min,95 - 120,96.0,Movie
6576,1,101 min,95 - 120,101.0,Movie
6578,1,83 min,60 - 90,83.0,Movie
6579,1,121 min,120 - 150,121.0,Movie
6580,1,87 min,60 - 90,87.0,Movie
6581,1,156 min,150  - 300,156.0,Movie
6583,1,87 min,60 - 90,87.0,Movie
6585,1,118 min,95 - 120,118.0,Movie
6589,1,30 min,0 - 60,30.0,Movie
6594,1,95 min,95 - 120,95.0,Movie
6595,1,107 min,95 - 120,107.0,Movie
6596,1,96 min,95 - 120,96.0,Movie
6597,1,110 min,95 - 120,110.0,Movie
6598,1,118 min,95 - 120,118.0,Movie
6599,1,89 min,60 - 90,89.0,Movie
6600,1,85 min,60 - 90,85.0,Movie
6602,1,107 min,95 - 120,107.0,Movie
6603,1,86 min,60 - 90,86.0,Movie
6604,1,83 min,60 - 90,83.0,Movie
6605,1,108 min,95 - 120,108.0,Movie
6606,1,138 min,120 - 150,138.0,Movie
6608,1,119 min,95 - 120,119.0,Movie
6609,1,93 min,90 - 95,93.0,Movie
6610,1,30 min,0 - 60,30.0,Movie
6611,1,91 min,90 - 95,91.0,Movie
6612,1,87 min,60 - 90,87.0,Movie
6613,1,121 min,120 - 150,121.0,Movie
6614,1,95 min,95 - 120,95.0,Movie
6615,1,103 min,95 - 120,103.0,Movie
6616,1,201 min,150  - 300,201.0,Movie
6617,1,179 min,150  - 300,179.0,Movie
6618,1,113 min,95 - 120,113.0,Movie
6619,1,110 min,95 - 120,110.0,Movie
6620,1,94 min,90 - 95,94.0,Movie
6621,1,127 min,120 - 150,127.0,Movie
6622,1,87 min,60 - 90,87.0,Movie
6623,1,87 min,60 - 90,87.0,Movie
6624,1,98 min,95 - 120,98.0,Movie
6625,1,98 min,95 - 120,98.0,Movie
6626,1,82 min,60 - 90,82.0,Movie
6627,1,85 min,60 - 90,85.0,Movie
6628,1,90 min,90 - 95,90.0,Movie
6631,1,46 min,0 - 60,46.0,Movie
6632,1,46 min,0 - 60,46.0,Movie
6633,1,46 min,0 - 60,46.0,Movie
6635,1,103 min,95 - 120,103.0,Movie
6637,1,137 min,120 - 150,137.0,Movie
6638,1,68 min,60 - 90,68.0,Movie
6639,1,107 min,95 - 120,107.0,Movie
6640,1,100 min,95 - 120,100.0,Movie
6642,1,195 min,150  - 300,195.0,Movie
6643,1,98 min,95 - 120,98.0,Movie
6644,1,138 min,120 - 150,138.0,Movie
6645,1,40 min,0 - 60,40.0,Movie
6646,1,137 min,120 - 150,137.0,Movie
6647,1,97 min,95 - 120,97.0,Movie
6648,1,136 min,120 - 150,136.0,Movie
6649,1,138 min,120 - 150,138.0,Movie
6650,1,129 min,120 - 150,129.0,Movie
6651,1,90 min,90 - 95,90.0,Movie
6652,1,116 min,95 - 120,116.0,Movie
6653,1,130 min,120 - 150,130.0,Movie
6654,1,60 min,60 - 90,60.0,Movie
6656,1,88 min,60 - 90,88.0,Movie
6657,1,40 min,0 - 60,40.0,Movie
6658,1,94 min,90 - 95,94.0,Movie
6662,1,113 min,95 - 120,113.0,Movie
6663,1,98 min,95 - 120,98.0,Movie
6665,1,119 min,95 - 120,119.0,Movie
6666,1,91 min,90 - 95,91.0,Movie
6667,1,95 min,95 - 120,95.0,Movie
6670,1,54 min,0 - 60,54.0,Movie
6676,1,86 min,60 - 90,86.0,Movie
6679,1,132 min,120 - 150,132.0,Movie
6680,1,44 min,0 - 60,44.0,Movie
6681,1,104 min,95 - 120,104.0,Movie
6682,1,91 min,90 - 95,91.0,Movie
