,count,duration,duration_bin,durations,type
7008,1,157 min,150  - 300,157.0,Movie
7009,1,116 min,95 - 120,116.0,Movie
7011,1,47 min,0 - 60,47.0,Movie
7012,1,100 min,95 - 120,100.0,Movie
7014,1,114 min,95 - 120,114.0,Movie
7015,1,128 min,120 - 150,128.0,Movie
7016,1,101 min,95 - 120,101.0,Movie
7017,1,108 min,95 - 120,108.0,Movie
7019,1,53 min,0 - 60,53.0,Movie
7021,1,99 min,95 - 120,99.0,Movie
7023,1,89 min,60 - 90,89.0,Movie
7024,1,90 min,90 - 95,90.0,Movie
7027,1,111 min,95 - 120,111.0,Movie
7028,1,83 min,60 - 90,83.0,Movie
7029,1,85 min,60 - 90,85.0,Movie
7030,1,135 min,120 - 150,135.0,Movie
7031,1,94 min,90 - 95,94.0,Movie
7032,1,104 min,95 - 120,104.0,Movie
7033,1,132 min,120 - 150,132.0,Movie
7034,1,89 min,60 - 90,89.0,Movie
7035,1,97 min,95 - 120,97.0,Movie
